Data Source,World Development Indicators,,,
,,,,
Last Updated Date,2024/6/28,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2022
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.850418123
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,12.6
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.268946393
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.806430202
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.714802365
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.014721975
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.253244914
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.777915438
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.099828776
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.926432221
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.658244891
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.605680426
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.016694354
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.628331545
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.213867838
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.486028178
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.819866339
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.247073127
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.568328178
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.058740081
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.217850913
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.288883887
Costa Rica,CRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.55149178
Cyprus,CYP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.058128008
Czechia,CZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.35100354
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.806208967
Denmark,DNK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.731174454
Dominican Republic,DOM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.858324036
Europe & Central Asia,ECS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.157498664
Ecuador,ECU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.186139073
"Egypt, Arab Rep.",EGY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.587845609
Euro area,EMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.426121239
Spain,ESP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.770647676
Estonia,EST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.461002668
European Union,EUU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.478653735
Finland,FIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.335467305
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.454758177
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.345228834
Ghana,GHA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.817504621
Guinea-Bissau,GNB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.199990232
Greece,GRC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.55728708
Guatemala,GTM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.118004169
"Hong Kong SAR, China",HKG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.680752922
Honduras,HND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.14356194
Croatia,HRV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.027225888
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.583407673
IBRD only,IBD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.601688625
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.307419348
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.987039326
Ireland,IRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.43302211
Iceland,ISL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.881307745
Israel,ISR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.832886636
