Data Source,World Development Indicators,,,
,,,,
Last Updated Date,2024/6/28,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2022
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9441129
Armenia,ARM,"Population, total",SP.POP.TOTL,2780469
Australia,AUS,"Population, total",SP.POP.TOTL,26014399
Austria,AUT,"Population, total",SP.POP.TOTL,9041851
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10141756
Belgium,BEL,"Population, total",SP.POP.TOTL,11685814
Benin,BEN,"Population, total",SP.POP.TOTL,13352864
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,22673762
Bangladesh,BGD,"Population, total",SP.POP.TOTL,171186372
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6465097
Belarus,BLR,"Population, total",SP.POP.TOTL,9228071
Bolivia,BOL,"Population, total",SP.POP.TOTL,12224110
Brazil,BRA,"Population, total",SP.POP.TOTL,215313498
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,449002
Bhutan,BTN,"Population, total",SP.POP.TOTL,782455
Botswana,BWA,"Population, total",SP.POP.TOTL,2630296
Canada,CAN,"Population, total",SP.POP.TOTL,38939056
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,100108262
Switzerland,CHE,"Population, total",SP.POP.TOTL,8775760
Chile,CHL,"Population, total",SP.POP.TOTL,19603733
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,28160542
Colombia,COL,"Population, total",SP.POP.TOTL,51874024
Cyprus,CYP,"Population, total",SP.POP.TOTL,1251488
Czechia,CZE,"Population, total",SP.POP.TOTL,10672118
Germany,DEU,"Population, total",SP.POP.TOTL,83797985
Denmark,DNK,"Population, total",SP.POP.TOTL,5903037
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,11228821
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,920988359
Ecuador,ECU,"Population, total",SP.POP.TOTL,18001000
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,110990103
Euro area,EMU,"Population, total",SP.POP.TOTL,348331552
Spain,ESP,"Population, total",SP.POP.TOTL,47778340
Estonia,EST,"Population, total",SP.POP.TOTL,1348840
European Union,EUU,"Population, total",SP.POP.TOTL,447370551
Finland,FIN,"Population, total",SP.POP.TOTL,5556106
France,FRA,"Population, total",SP.POP.TOTL,67971311
United Kingdom,GBR,"Population, total",SP.POP.TOTL,67791000
Ghana,GHA,"Population, total",SP.POP.TOTL,33475870
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,2105566
Greece,GRC,"Population, total",SP.POP.TOTL,10426919
Guatemala,GTM,"Population, total",SP.POP.TOTL,17357886
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7346100
Honduras,HND,"Population, total",SP.POP.TOTL,10432860
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,884288332
Croatia,HRV,"Population, total",SP.POP.TOTL,3855641
Hungary,HUN,"Population, total",SP.POP.TOTL,9643048
IBRD only,IBD,"Population, total",SP.POP.TOTL,4912348798
Indonesia,IDN,"Population, total",SP.POP.TOTL,275501339
India,IND,"Population, total",SP.POP.TOTL,1417173173
Ireland,IRL,"Population, total",SP.POP.TOTL,5127170
Iceland,ISL,"Population, total",SP.POP.TOTL,382003
Israel,ISR,"Population, total",SP.POP.TOTL,9557500
Italy,ITA,"Population, total",SP.POP.TOTL,58940425
Jamaica,JAM,"Population, total",SP.POP.TOTL,2827377
Jordan,JOR,"Population, total",SP.POP.TOTL,11285869
Japan,JPN,"Population, total",SP.POP.TOTL,125124989
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,19634983
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51672569
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,596596955
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7529475
St. Lucia,LCA,"Population, total",SP.POP.TOTL,179857
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,659306928
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,22181000
Lithuania,LTU,"Population, total",SP.POP.TOTL,2831639
Luxembourg,LUX,"Population, total",SP.POP.TOTL,653103
Latvia,LVA,"Population, total",SP.POP.TOTL,1879383
Morocco,MAR,"Population, total",SP.POP.TOTL,37457971
Moldova,MDA,"Population, total",SP.POP.TOTL,2538894
Madagascar,MDG,"Population, total",SP.POP.TOTL,29611714
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,493279469
Mexico,MEX,"Population, total",SP.POP.TOTL,127504125
Malta,MLT,"Population, total",SP.POP.TOTL,531113
Mongolia,MNG,"Population, total",SP.POP.TOTL,3398366
Mauritius,MUS,"Population, total",SP.POP.TOTL,1262523
Malaysia,MYS,"Population, total",SP.POP.TOTL,33938221
North America,NAC,"Population, total",SP.POP.TOTL,372274062
